"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bosnia and Herzegovina","BIH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7.61","7.43","8.31","9.06","9.05","9.17","9.53","9.69","9.02","9.02","9.18","9.49","9.45","9.49","9.24","9.14","8.82","8.76","8.93","9.7","9.56","","",
"Belarus","BLR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28","5.71","5.62","5.77","5.74","6.07","5.57","5.69","5.29","5.39","5.66","4.87","5.25","5.7","5.39","6.07","5.91","5.76","5.53","5.86","6.41","6.57","","",
"Belize","BLZ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98060012","3.49099278","3.59433174","3.56305766","3.44779563","3.46698904","3.57004833","4.07867432","4.53821993","4.52587652","4.49519491","4.54942894","4.36242819","4.43660116","4.88208723","4.65365601","4.76508141","4.61620188","4.74657917","4.81374073","5.30974436","4.98043823","","",
"Bermuda","BMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39554119","4.82522202","4.89645052","5.19709635","4.86315727","5.07408142","4.66087532","4.6968894","4.60677242","5.17444515","5.20230532","5.17306805","5.2539444","5.57465124","5.89613628","6.55064964","6.83333063","6.4901948","6.60399437","6.88792992","8.0225811","8.15972805","","",
"Brazil","BRA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33457184","8.54963303","8.69686985","8.18899441","8.12491989","8.03539562","8.24952507","8.20182991","8.01128483","8.39480495","7.94516611","7.78819132","7.73637724","7.9766016","8.39644146","8.90929985","9.16901493","9.47124863","9.46475029","9.61449146","10.18235016","9.89072323","","",
"Barbados","BRB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.33187246","5.52529192","5.86123466","6.69148111","7.31297731","6.77536297","6.58370161","6.05665207","6.47753286","7.14522552","6.77094746","6.89690495","7.77819967","7.39825487","6.96651411","6.83201313","6.83736086","6.65253401","6.45336485","6.20015001","7.37276554","8.09043312","","",
"Brunei Darussalam","BRN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5479064","2.5465107","2.53447938","2.60260582","2.55193377","2.23386168","1.9072516","1.94145441","1.87612021","2.39306617","2.27826095","1.86409724","1.85097206","1.898314","1.91436803","2.38708901","2.54828691","2.27022862","2.41289377","2.19410944","2.39334464","2.20486665","","",
"Bhutan","BTN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.44684267","5.0041995","4.59563637","4.1293807","4.59777308","4.13416338","4.4061017","4.1298461","3.38117099","3.5476253","3.55879498","3.34921789","3.61913681","3.70787191","3.55791116","3.75701189","3.57613945","3.3407371","3.2427721","3.60361075","4.36274862","3.84550023","","",
"Botswana","BWA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.10838556","6.3660779","6.66529799","6.40933847","6.09125996","5.26532936","4.87599421","5.52080727","5.89747286","6.62081194","6.26718187","5.86915016","6.35010576","6.49913645","5.8804059","6.10287762","5.76837635","6.62986994","6.04010344","6.12193203","6.1213398","6.30929565","","",
"Central African Republic","CAF","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.27478504","3.95594192","4.22761345","4.39720297","4.30442286","4.36732149","4.44105434","4.71851492","4.08699083","4.81901121","3.56699872","3.67561865","3.91814446","4.76660204","4.56557369","5.03434181","5.44402313","6.66541576","10.99657822","7.76124763","8.98538017","9.06853294","","",
"Canada","CAN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.24814415","8.62482357","8.85670471","9.01090145","9.06628132","9.03540611","9.34210205","9.44540119","9.60754967","10.66225815","10.67611408","10.37950897","10.50971508","10.41174984","10.25765324","10.73869705","11.0319252","10.90631104","10.90542507","11.00887775","13.0351181","12.3341074","11.15471363","",
"Central Europe and the Baltics","CEB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70309511865147","5.90452807024592","6.15260345615923","6.38978376277205","6.35264650609029","6.35930922658045","6.21540946357493","6.12727689011362","6.37213416266488","6.84243335506141","6.89538567113618","6.59879435298682","6.61639436271802","6.67307318505209","6.59586413493831","6.51999295443169","6.67697410704795","6.60488418080765","6.55211146413891","6.66315003271341","7.26488812849928","7.44192383369251","","",
"Switzerland","CHE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.13442421","9.46040154","9.88000202","10.13696766","10.22576523","10.05823421","9.58019924","9.41693878","9.53167629","10.1415062","9.93353558","10.04628563","10.14446354","10.37922478","10.42800808","10.77887917","10.9900341","11.0451622","10.77226162","11.06363678","11.73206806","11.80107975","","",
"Channel Islands","CHI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.00020742","7.09733057","7.20833778","7.25047779","6.91028547","6.62372112","6.07235622","6.21259642","6.73954487","7.25026846","6.81958437","6.79947519","7.01951313","7.47552633","7.84150124","8.3513937","8.55767059","9.090518","9.22575188","9.36262131","9.72726822","9.34327984","9.00162983","",
"China","CHN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.50828123","4.25330067","4.38285255","4.41762781","4.29347467","4.17605019","3.94742203","3.67491412","3.900002","4.34958458","4.23068333","4.34274387","4.56584787","4.71490669","4.77790594","4.93827963","4.97955608","5.06592178","5.16790485","5.3502779","5.59359741","5.38360548","","",
"Cote d'Ivoire","CIV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.12679291","6.01767921","5.90386152","5.47972536","5.47516584","5.00639105","4.76326609","4.55249786","4.56869602","4.46966648","4.41577387","4.39700699","4.4273715","3.71773791","3.7310183","3.2198832","3.32101274","3.24693036","3.0916779","3.21496511","3.62587261","3.13269377","","",
"Cameroon","CMR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11237431","3.88486743","4.02669907","3.90227985","3.72798967","3.77274442","3.73662806","3.70858574","3.65843678","3.49997187","3.57742167","3.85282946","3.9310236","3.63111043","3.78765464","3.59505081","3.5937767","3.39752436","3.61970162","3.65157914","3.77177453","3.82407379","","",
"Congo, Dem. Rep.","COD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46594739","2.62310958","2.57012916","3.73353338","4.33564186","3.98558235","4.06210661","3.89384961","4.31254768","4.51133156","3.72224283","3.19435549","3.2215035","3.34057522","3.72520614","3.74785447","4.20027828","4.00057793","3.24127173","3.508039","4.05092573","3.7859261","","",
"Congo, Rep.","COG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.50500846","2.18529987","1.70167828","1.91852403","1.92152369","1.71774101","1.70861316","1.90200174","2.2392714","2.1422224","1.85172856","1.75237322","1.90971065","1.94347155","1.97311735","2.45668483","2.77497125","2.52240992","1.8976357","2.54176092","4.39382887","3.87537813","","",
"Colombia","COL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.63529348","5.94238281","5.73296595","5.77505445","5.79892111","6.06710529","6.33546638","6.49102163","6.84192228","7.3113451","7.07130146","6.78076792","6.74601603","7.01724052","7.18553209","7.52338552","7.53117037","7.67864323","7.62541437","7.77954912","8.71432114","9.01772404","","",
"Comoros","COM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5153451","6.65322924","6.68114853","6.65392351","6.58027744","6.12521315","5.77074099","5.41753864","5.06897497","4.92694378","4.99181557","5.3021183","5.17354631","5.10299349","5.23849726","4.60089922","4.65263557","5.26807451","4.90318584","5.18044472","5.86521959","6.33513117","","",
